headline,label,category
New Archaeological Excavation Reveals Roman Settlement Remains,0,curated_news
Senior Saudi prince freed in settlement agreement of $1 billion: Saudi official,0,worldnews
WATCH TUCKER CARLSON DESTROY Racist Flamethrower For Questioning “Hero” Label For White OSU Cop [VIDEO],1,politics
Five North Carolina Sheriff's deputies disciplined over Trump rally,0,politicsNews
WOW! WHAT JOHN KERRY JUST SAID PROVES HIS INABILITY TO BE OUR SECRETARY OF STATE,1,politics
Trump health pick favors insurance for people with prior illness,0,politicsNews
WHY TRUMP’S NEW CEO Will Be The Left’s Worst Nightmare,1,politics
#NFL TWEETS About Tom Brady’s Deflategate Appeal Denial…IGNORES Isaiah Crowell’s Image Of Cop’s Throat Being Slit On Social Media?,1,politics
"Republicans Are Already Planning For Their Health Care Bill To Fail, Here’s Proof (DETAILS)",1,News
Lebanon's cabinet to meet Tuesday for first time since political crisis: media office,0,worldnews
"Trump BEGGED This Singer To Perform At His Inauguration, So She Told Him To Go F*ck Himself (TWEETS)",1,News
STATUE OF LIBERTY AS A MUSLIM? Congressman Sparks Protest After Hanging Painting in Office,1,politics
Great Answer! Sean Spicer Asked To Name CNN Reporter Who ‘Did Good Work’ During His Time In The Trump Administration,1,politics
London will remain leading financial center: PM May's spokesman,0,worldnews
"Dear Liberal, Why I’m So Hostile…And How “Your political beliefs are a threat to liberty – not just for me, but for my three boys”",1,politics
Trump Official Gets Asked A Simple Question About Global Warming. Her Response Is Unbelievable. (VIDEO),1,News
Murder and money laundering in Malta -- a challenge for EU,0,worldnews
"Ted Cruz Arrives In The Bronx Only To Put Down New Yorkers, Tosses Protester Who Speaks Up",1,News
Saudi Arabia condemns Myanmar government 'policy of repression',0,worldnews
“HILLARY CLINTON SEXUALLY ASSAULTED ME!” [Video],1,politics
Black Student ‘Activist’ Jailed for Tweeting FAKE Racist Threats,1,US_News
Meet The Billionaire Behind Trump’s Twitter Bot Army Responsible For Pushing Conservative Lies,1,News
China summons Australian envoy over political meddling allegations,0,worldnews
"5 BIG LIES THE LEFTY MEDIA TOLD THIS WEEK…Then The Truth On Trump, Comey And Russia",1,politics
PRESIDENT TRUMP Hits Back At Activist Judge On Sanctuary City Decision: “Egregious Overreach”,1,politics
FLORIDA REJECTED Anti-Terror Bill Ahead Of Attack In Orlando,1,Government News
Venezuela vote dispute escalates foreign sanctions threat,0,worldnews
Two gay men challenge Tennessee denial of service law,0,politicsNews
U.S. tax bill may face lawsuits with long odds but political payoffs,0,politicsNews
Big Banks Fleeced The Working Poor Out Of $11.16 Billion In 2015,1,News
"False Alarm or Psy-Op? LAX ‘Active Shooter’ Spectacle, JFK Airport Panic & Staged Propaganda",1,US_News
NANCY PELOSI Screws Up the Oath of Office While Lecturing Reporters on the Seriousness of Her Job [Video],1,politics
"WATCH: Trump Supporter Admits What ‘Make America Great Again’ Means To Her, And It’s Vile",1,News
Donald Trump Responds To Mockery Over Fake Swedish Attack – Prepare To Laugh Your A** Off,1,News
Lawmakers fight in Uganda parliament for second day over term limit laws,0,worldnews
Trump Stops Infrastructure Speech To Go Off The Rails About Democrats (VIDEO),1,News
Iraq reconstruction conference in Kuwait planned for early 2018,0,worldnews
Trump Gets His A** Handed To Him For Running Off Stage Because Some Guy Had A Sign,1,News
Cowardly ESPN Won’t Stand Up For Black Reporter Who Spoke The Truth About Trump (TWEETS),1,News
"Women Are Punished Every Day For Abortion, But Trump Didn’t Say That On Fox News Sunday (VIDEO)",1,News
NEW EMAILS SHOW HILLARY Asking How Meeting On Libyan War Would Impact Hamptons Vacation…And MORE,1,politics
"Democrat Corey Booker Backs Single-Payer and Wide Open Borders: ‘Build Tunnels, Not Walls’ [Video]",1,politics
Lebanon Speaker says government still stands after PM quit: sources,0,worldnews
EU calls on Malta to find journalist's 'barbarous' killers,0,worldnews
"These Are Hillary Clinton’s Five VP Choices, And They Are All Excellent",1,News
French president's party hit by defections as it picks leader,0,worldnews
China tests new dredger capable of South China Sea projects: state media,0,worldnews
THE LEFT GOES BONKERS After Bill O’Reilly Says Maxine Waters Wears A “James Brown Wig” [Video],1,politics
"Trump Tries To Court The Gay Community, Instead They Trend #LGBTQHatesTrumpParty (TWEETS)",1,News
FLASHBACK: Female Terrorist Who Planned To Blow Up NYC Police Funeral Was A Pre-School Teacher [Video],1,politics
Former Mexican President Crushes Trump’s Dreams: We’re ‘Not Paying For That F*cking Wall’ (VIDEO),1,News
Singapore decried for 'harassment' of anti-death penalty activists,0,worldnews
WATCH RELATIVES SPEAK OUT After Teen Caught In Robbery Is Shot And Killed: “how he going to get his money to have clothes to go to school?”,1,politics
Anti-Abortion Republican Cheated And Tried To Get His Mistress To Have An Abortion,1,News
HOLY CASH COW! Check Out How Much Wall Street Funneled Into HILLARY’s Foundation/Slush Fund,1,politics
Texas Diner Owner ANNIHILATED Over Horribly Racist MLK Day Lunch Special (VIDEO),1,News
WHINING MICHELLE OBAMA: “People Don’t Understand How Hard This Is” [Video],1,politics
Mnuchin says business tax rate at 15 percent in Trump tax plan,0,politicsNews
Maryland lawmakers pass bill to curb immigration enforcement,0,politicsNews
DAVID LETTERMAN Offers Advice To Crybaby Comrades: “Stop Whining…Figure Out A Way To Remove Trump”,1,politics
PRESIDENT TRUMP’S HEARTFELT FATHER’S DAY PROCLAMATION: “Thank the men in our lives who have taken on the responsibility of raising children.”,1,politics
"Pakistan's anti-corruption agency starts criminal investigation into ex-PM, finance minister",0,worldnews
Senior justice official dismisses Republican charges of bias in Trump probe,0,politicsNews
Trump would try to squeeze Mexico into funding border wall,0,politicsNews
PRO-ILLEGAL ADVOCATE Accuses Jesse Watters Of Hate Speech for Saying ‘Illegal Immigrant’ [VIDEO],1,politics
Trump clears way for controversial oil pipelines,0,politicsNews
"CAMELOT COMES TO DC…First Lady, Trump Women Stun Viewers",1,politics
“DIRTY JOBS” HOST MIKE ROWE Absolutely Destroys Guy Who Called Him A White Nationalist,1,politics
"Trudeau HUMILIATES Trump, Openly Prefers To Speak To Other U.S. Officials Instead",1,News
Ukraine president: reforms to get harder as elections approach,0,worldnews
BREAKING: HILLARY CAMPAIGN Planned Fake “GRASSROOTS” Millennial Movement To Steal Bernie Followers,1,politics
EMBARRASSING: Pro-Gun Control Reporter Attempts Hit Job On AR-15’s…Claims He Got “Temporary PTSD”…Viewers Respond: “If you have a man card turn it in immediately” [VIDEO],1,politics
"Turkey's Yildirim says U.S. visa move positive, calls for extradition of cleric",0,worldnews
"RAPPER Who Met With Obama In White House To Strategize, Tweets Threat: “Dear white people if Trump wins young niggas such as myself are fully hell bent on inciting riots everywhere we go”",1,politics
Trump weighing Scaramucci for White House communications director,0,politicsNews
Trump's immigration pitch falls flat with Republicans near the border,0,politicsNews
Republican Party chairman calls meeting with Trump a step toward unity,0,politicsNews
Liberia's president says 'our democracy is under assault',0,worldnews
House lawmakers propose $1 billion in aid for struggling coal country,0,politicsNews
House Democrats seek probe of FCC chairman's treatment of Sinclair,0,politicsNews
VINDICATION: Sally Yates Nominated For JFK Courage Award For Standing Up To Trump’s Muslim Ban,1,News
Ukrainian author of Manafort op-ed says sought input to avoid errors,0,politicsNews
N.J. Governor Chris Christie accosts heckler in Milwaukee,0,politicsNews
Trump's threat to 'destroy' North Korea is wrong: Merkel,0,worldnews
Tropical Storm Lidia leaves seven dead in Mexico's Baja California peninsula,0,worldnews
Chinese official calls Trump 'irrational' on trade,0,politicsNews
"Senate revises Russia sanctions bill, sends it to House",0,politicsNews
U.S. agency seeks ideas for Trump's proposed border wall,0,politicsNews
"No 'bespoke' Brexit, transition means 'status quo': Barnier",0,worldnews
"At U.N., Russia slams inquiry into toxic gas attacks in Syria",0,worldnews
Trump blames fellow Republican leaders for debt ceiling 'mess',0,politicsNews
Trump Falsely Accuses NBC Of Misquoting Him And Gets Blown To Smithereens On Twitter,1,News
WOW! FORMER LIBERAL AND BLACK PANTHER Exposes Phony “Black Lies Matter” [VIDEO],1,politics
U.S. derivatives regulator splits with White House over budget,0,politicsNews
UK's Farage says PM May might not last until Christmas,0,worldnews
WATCH: Texas Judge Orders Newly Sworn-In Citizens To Accept Trump Or Leave The Country,1,News
Trump Stooge Betsy DeVos Gets Her A** Handed To Her By Joe Biden For Being Soft On College Campus Sexual Assault,1,News
Poland tells EU its overhaul of judiciary in line with EU standards,0,worldnews
"Trump still standing, but damaged by Comey's testimony",0,politicsNews
Trump Is Trying To Make It Illegal For Groups Of People He’s Screwed To Sue Him,1,News
WATCH Newest Addition To Trump’s Nat Security Council Explain To Imus Why She DIDN’T Defend Her Snarky Liberal Brother-In-Law Against On-Air Attack By Bill O’Reilly [VIDEO],1,politics
ALL HELL IS BREAKING LOOSE IN GERMANY: Citizens Want “Refugees” Gunned Down At Borders [VIDEO],1,politics
"OBAMA’S Mexico Gun-Running, Race-Baiting, Former Attorney General Hired By State Of CA To Help Fight Against Trump",1,politics
Merkel tells Rajoy of support for unity of Spain,0,worldnews
Iran condemns U.S. decision to move embassy to Jerusalem,0,worldnews
Holocaust must be bigger part of migrant courses: German minister,0,worldnews
Iraqi govt says Kurds must back country's 'unity' before talks,0,worldnews
Factbox: Retiring Republican Corker embroiled in public fight with Trump,0,politicsNews
DISNEY WORKER To Testify About Having To Train His Foreign Worker Replacement,1,Government News
Kenya bans city-center protests as vote tension mounts,0,worldnews
"Michelle Obama Makes The White House Garden Permanent, So Racists Called Her A ‘Gorilla’",1,News
Former NATO Commander Rips Trump’s Terrorism Speech To Shreds (VIDEO),1,News
Trump offers support for bathroom access based on gender identity,0,politicsNews
EU leaders want to 'responsibly' cut Turkey pre-accession aid: Merkel,0,worldnews
"Russia rebukes Trump over Iran, North Korea, accuses U.S. of missile treaty breach",0,worldnews
BREAKING: INSANE LOCATION “MOM AND POP” COMPANY WITH DEM PARTY CONNECTIONS Kept Hillary Clinton’s Email Server Is Disclosed [Video],1,politics
Beyonce Makes Powerful Statement About Police Shootings: ‘We Are Sick And Tired’ (VIDEO),1,News
Congo sets presidential election for December 2018,0,worldnews
Somali man charged in Canada attack was ordered deported from U.S.,0,worldnews
Russia says 'will consider' U.S. resolution on North Korea but with caveats,0,worldnews
Trump Throws PETTY Hissy Fit Because Bill Clinton Told The Truth About Him At A Bookstore,1,News
"AFL-CIO leader resigns from Trump's council, says president 'tolerates bigotry'",0,politicsNews
Fake News: The Collapse of the MSM’s ‘Facebook Russian Bot’ Story,1,US_News
WATCH: Joy Reid Shuts Down Right-Wing Pastor For Lying In Defense Of Racist Trump,1,News
Trump Administration Just Pressured Argentina Into Not Honoring Jimmy Carter With An Award,1,News
Gabby Giffords Drops Mic On Trump After He Exploits London Attacks To Push Pro-Gun Agenda,1,News
SARA CARTER WAS RIGHT ABOUT SPYING ON TRUMP! “This goes far beyond what is being reported” [VIDEO],1,politics
Senators renew push to overhaul military handling of sex assault,0,politicsNews
Hannity Goes BALLISTIC After Conservative Group Humiliates Him By Rescinding Media Award,1,News
Comedian Adam Carolla Slams NYC Mayor de Blasio’s Statue Commission,1,politics
Prankster interrupts British PM May's keynote party speech,0,worldnews
ROY MOORE WITCH HUNT UNRAVELLING: More Witnesses Step Forward To Refute Story Of Latest Roy Moore Accuser…OUCH!,1,politics
"After Sex Scandal Allegations, Ted Cruz Unleashes Colossally Pathetic Hissy Fit On Facebook",1,News
Hillary-Haters Send Death Threats To Arizona Republic For Endorsing Clinton,1,News
Racist Joe Arpaio Extorts Money For Re-Election By Threatening To Retire (SCREENSHOTS),1,News
U.S. Tillerson assures Washington's only goal in Syria is fighting IS: TASS cites Lavrov,0,worldnews
Rape Kit-Opposing Sheriff Gives Non-Apology For Calling Most Rapes ‘Consensual Sex’,1,News
Obama: Republicans risk diminishing credibility of Supreme Court,0,politicsNews
WAKE-UP CALL! IRANIAN REFUGEE Warns The West: “I’m beginning to get really scared…’Islamofascism’ always starts with unification of Left and Islamists” [VIDEO],1,politics
"Germany must not bow to Trump threats, Merkel ally says",0,politicsNews
U.S. Senate's top tax lawmaker targets corporate offshore profits,0,politicsNews
Pro – Clinton PAC Launches New Website Chronicling All Of Trump’s Lies,1,News
Kremlin says bank's meeting with Trump son-in-law was routine business,0,politicsNews
South Africa to increase spending on higher education: Zuma,0,worldnews
"Episode #159 – SUNDAY WIRE: ‘Tick-Tock USA’ with guests Dr Marcus Papadopoulos, Basil Valentine",1,US_News
Memories in milk bottles: Polish exhibition 'shouts out' annihilation story of Warsaw Ghetto,0,worldnews
U.N. seeks to rally foreign backing for new Libyan peace plan,0,worldnews
Texas School Officials Request For New Name Goes Horribly Wrong (VIDEO),1,News
Youths charged with murder after fatal fire at Malaysian school,0,worldnews
FL Hearing Goes FULL RACIST: We Must Ban Abortion To Save ‘White Culture’ (VIDEO),1,News
U.S. says it may not need Apple to open San Bernardino iPhone,0,politicsNews
JUST IN: LEADING DEMOCRATS Call For Investigation Into Al Franken…MSNBC Defends Groping As ‘Mock Groping’ [Video],1,politics
Trump could easily erase much of Obama's foreign policy legacy,0,politicsNews
HILLARY’S STATE DEPARTMENT BLOCKED Min Wage Hike For Haiti’s Poorest Citizens To Keep Costs Down For U.S. Owned Factories,1,politics
This Old Tweet From Trump Reveals The REAL Reason He’s Trying To Start A War,1,News
WATCH: Trump Supporter Just Mocked Hispanics By Insulting The Spanish Language On CNN,1,News
Trump Campaign CEO Didn’t Want His Kids In School With A Bunch Of ‘Whiny’ Jews,1,News
"Iraq demands U.S. backtrack on Jerusalem, summons ambassador",0,worldnews
"Elizabeth Warren Tears Trump Apart AGAIN, Praises Dem Candidates",1,News
"Bill Maher: Tax The Churches, Why Are We Paying For A ‘Homophobic Magic Act’? (VIDEO)",1,News
"Factbox: Trump to meet with Oklahoma governor, ex-Texas governor Perry, Hawaii Democrat Gabbard, others",0,politicsNews
"Conservative Convicted Of Trying To Assassinate Obama With A Slingshot — Yes, A Slingshot (SCREENSHOTS)",1,News
CLINTON COVERUP: WHY WAS MAJOR CLINTON CRONY Put On Sensitive Intelligence Board? [Video],1,politics
JUST IN: OBAMA APPOINTED JUDGE Presiding Over Michael Flynn’s Case SUDDENLY Recuses Himself…CLINTON Appointed Judge Will Sentence Flynn,1,politics
It’s Official: Trump Just Created His Muslim Ban Without Ever Creating An Actual Ban On Muslims,1,News
China says it wants smooth military ties with Trump,0,politicsNews
Why Would Obama Regime Allow 23 Jihad Training Camps “Capable Of Mounting Terror Campaigns Within U.S.” To Remain Open?,1,politics
Superdelegate Tammy Baldwin: ‘I’m Still A Human’ (VIDEO),1,News
VA Middle School Student Accused Of Stealing $.65 Milk Charged With Larceny (VIDEO),1,News
"Laughing in crisis, Venezuelan acts out dissident Ortega's tale",0,worldnews
"'Everything but Hillary Clinton,' France's Le Pen says, backing Trump",0,politicsNews
Russian Foreign Ministry says latest U.S. sanctions are 'grotesque',0,worldnews
White House says cyber review to go beyond  2016 election,0,politicsNews
CA Middle School Won’t Release Student Council Election Results…Winners Aren’t Diverse Enough,1,left-news
South Africa's Zuma says influence-peddling in his government to be investigated,0,worldnews
Bruising debate brings a reluctant Trump around on Afghanistan war,0,politicsNews
NOT NEWS: WHITE UNARMED TEEN KILLED BY SC POLICE OFFICER RULED HOMICIDE…Police Refuse To Name Officer,1,politics
Trump says Britain would be better off outside EU,0,politicsNews
U.S. panel urges probe on whether China weakening U.S. militarily,0,politicsNews
U.S. says 'administrative error' blocked Indonesia military chief's travel,0,worldnews
"China draws three-stage path for Myanmar, Bangladesh to resolve Rohingya crisis",0,worldnews
Syrian army and allies close in on Islamic State in Deir al-Zor,0,worldnews
Here’s The Most Scathing Indictment Yet Of The Anti-LBGT Hate That Caused The Orlando Massacre,1,News
(VIDEO) BALTIMORE MAYOR REOPENS LOOTED MALL: TELLS VENDORS THEY’RE MAKING A “GREAT INVESTMENT” BY STAYING,1,politics
Boiler Room EP #68 – 4 Non-Binary Blondes & Social Justice Triggly Convulsions,1,US_News
The Daily Show’s Hasan Minaj Breaks Character And Admits He’s Scared For His Family (VIDEO),1,News
ROB SCHNEIDER Nails The Russia Conspiracy Theorists In One Hysterical Tweet,1,politics
Devin Nunes’ Credibility Is Officially SHATTERED – New York Times Reveals The Scope Of His Lies,1,News
Dublin hopeful Northern Ireland talks can resume in coming weeks,0,worldnews
HYPOCRITE HILLARY Shows At The Gay Pride Parade But Takes Millions From Gay Murdering Nations [Video],1,politics
Bakari Sellers: Not All Trump Supporters Are Bigots But They Support One (VIDEO),1,News
